Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_HINT_HEADLINE_1,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_2,"Reputazione","Reputation","Pověst","Ruf","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","名聲","評判","Reputação","名声"
STR_HINT_HEADLINE_3,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_4,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_5,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_6,"Reputazione","Reputation","Pověst","Ruf","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","名聲","評判","Reputação","名声"
STR_HINT_HEADLINE_7,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_8,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_9,"Progressione","Progression","Postup","Progression","Прогресс","Postęp","Haladás","Progressione","Progresión","Progression","進展","進行状況","Progressão","进展"
STR_HINT_HEADLINE_10,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_11,"Progressione","Progression","Postup","Progression","Прогресс","Postęp","Haladás","Progressione","Progresión","Progression","進展","進行状況","Progressão","进展"
STR_HINT_HEADLINE_12,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_13,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_14,"Economia","Economy","Ekonomika","Wirtschaft","Экономика","Gospodarka","Gazdaság","Economia","Economía","Économie","經濟","経済","Economia","经济"
STR_HINT_HEADLINE_15,"Soppravvivenza","Survival","Přežití","Überleben","Выживание","Przetrwanie","Túlélés","Soppravvivenza","Supervivencia","Survie","生存","サバイバル","Sobrevivência","生存"
STR_HINT_HEADLINE_16,"PvP","PvP","PvP","PvP","ПвП","PvP","PvP","PvP","JcJ","PvP","玩家對戰","PvP","JxJ","玩家对战"
STR_HINT_HEADLINE_17,"PvP","PvP","PvP","PvP","ПвП","PvP","PvP","PvP","JcJ","PvP","玩家對戰","PvP","JxJ","玩家对战"
STR_HINT_HEADLINE_18,"Reputazione","Reputation","Pověst","Ruf","Репутация","Reputacja","Hírnév","Reputazione","Reputación","Réputation","名聲","評判","Reputação","名声"
